,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-04-06,229.512222,148.700027,136.003036,96.224960,126.389999,55.437977,19.759117
2018-04-09,230.643402,149.744324,136.165878,96.383850,126.820000,55.646038,19.708946
2018-04-10,234.310638,153.048157,138.734741,96.209030,127.120003,55.847553,19.658775
2018-04-11,233.082336,152.165176,139.033203,96.550690,128.110001,55.867088,19.642052
2018-04-12,234.999939,153.997498,139.982925,95.843513,126.620003,56.068615,19.683861
2018-04-13,234.310638,153.200012,139.250305,96.065987,127.449997,56.101116,19.683861
2018-04-16,236.237106,154.367783,140.534714,96.097809,127.629997,56.185646,19.616968
2018-04-17,238.764435,157.690567,142.063309,96.359993,127.750000,56.211624,19.616968
2018-04-18,238.941193,158.013336,142.443237,95.589279,127.849998,56.153133,19.658775
2018-04-19,237.615707,156.560806,141.457321,94.810555,127.599998,55.977600,19.717308
2018-04-20,235.600830,154.082977,140.697525,94.127228,126.629997,55.841103,19.834373
2018-04-23,235.565536,153.693710,140.489487,94.151009,125.620003,55.691544,19.959805
2018-04-24,232.393127,150.437363,139.684494,93.721947,126.230003,55.580982,19.934717
2018-04-25,232.967438,150.617767,139.476364,93.094238,125.410004,55.587509,20.018337
2018-04-26,235.335754,153.788666,140.118622,93.745758,124.970001,55.782551,20.110317
2018-04-27,235.556625,153.883591,139.919617,94.468895,125.500000,55.756557,20.093592
2018-04-30,233.745087,152.791794,138.680450,94.635727,124.589996,55.717529,20.177210
2018-05-01,234.160431,154.538651,139.358856,94.294899,123.709999,55.758675,20.311003
2018-05-02,232.587479,153.627274,139.883453,94.191338,123.650002,55.739109,20.402983
2018-05-03,232.074890,153.608276,139.123627,94.613396,124.279999,55.732548,20.319363
2018-05-04,235.079483,156.522842,140.860306,94.756783,124.540001,55.771721,20.344450
2018-05-07,235.874802,157.823471,142.054291,94.605484,124.570000,55.823956,20.386259
2018-05-08,235.874802,157.662048,142.759811,94.517876,124.589996,55.739109,20.461517
2018-05-09,238.154755,159.380432,143.528671,93.952438,124.330002,55.830490,20.461517
2018-05-10,240.381577,161.032349,144.297455,94.709007,125.180000,55.993721,20.369535
2018-05-11,241.115067,160.880447,144.577911,94.947937,125.000000,55.974110,20.336088
2018-05-14,241.229996,161.155731,144.026108,94.446198,124.489998,55.987186,20.361174
2018-05-15,239.568588,159.370956,144.053238,93.371124,122.480003,55.712990,20.486603
2018-05-16,240.576126,160.424759,145.554764,93.012810,122.290001,55.784775,20.536774
2018-05-17,240.372772,159.807693,146.224106,92.542953,122.360001,55.817417,20.561859
2018-05-18,239.771881,158.981720,146.414047,93.339294,122.410004,55.758675,20.603666
2018-05-21,241.574585,159.874100,147.381912,93.387070,122.480003,55.837029,20.586945
2018-05-22,240.902893,159.665283,146.314560,93.243752,122.410004,55.876205,20.578583
2018-05-23,241.565811,161.013382,146.504501,93.920609,122.540001,55.921909,20.662201
2018-05-24,241.070862,160.965897,146.558792,94.669235,123.589996,55.954540,20.637115
2018-05-25,240.496475,161.127304,146.296463,95.258453,123.209999,55.863140,20.737457
2018-05-29,237.730545,160.415283,146.097488,97.344894,123.190002,55.628059,20.879612
2018-05-30,240.902893,161.564011,148.413071,96.691910,123.370003,55.797829,20.720737
2018-05-31,239.427231,161.459549,147.228149,96.532623,123.099998,55.745609,20.704008
2018-06-01,241.777863,163.994415,148.195969,96.022591,122.489998,55.872849,20.737457
2018-06-04,242.926651,165.475388,148.982895,95.328163,122.370003,55.990917,20.720737
2018-06-05,243.103394,165.988083,149.905487,95.551651,122.849998,56.056488,20.695648
2018-06-06,245.135941,166.956406,150.990891,94.777351,122.919998,56.194229,20.637115
2018-06-07,245.109390,165.598831,150.167801,95.695320,122.860001,56.213882,20.595304
2018-06-08,245.833939,165.608322,150.620087,95.407936,123.010002,56.181118,20.603666
2018-06-11,246.160965,166.054550,150.846207,95.232391,123.230003,56.286087,20.620394
