,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
SPY buy-and-hold,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Monthly equal weight,0.1431,0.1431,0.1438,0.1433,0.1414,0.1425,0.1427
Trend inverse-vol proxy,0.1264,0.0957,0.0865,0.0000,0.0656,0.3250,0.3008
Sparse tangent proxy,0.4374,0.3610,0.2016,0.0000,0.0000,0.0000,0.0000
