,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-04-06,229.512207,148.700012,136.003113,96.224907,126.389999,55.437988,19.759117
2018-04-09,230.643402,149.744278,136.165894,96.383865,126.820000,55.646042,19.708948
2018-04-10,234.310654,153.048141,138.734711,96.209030,127.120003,55.847580,19.658775
2018-04-11,233.082291,152.165253,139.033249,96.550697,128.110001,55.867065,19.642050
2018-04-12,234.999924,153.997528,139.982910,95.843498,126.620003,56.068604,19.683865
2018-04-13,234.310654,153.199997,139.250320,96.066017,127.449997,56.101093,19.683865
2018-04-16,236.237106,154.367798,140.534668,96.097786,127.629997,56.185654,19.616966
2018-04-17,238.764481,157.690582,142.063354,96.359970,127.750000,56.211643,19.616966
2018-04-18,238.941162,158.013336,142.443222,95.589249,127.849998,56.153141,19.658775
2018-04-19,237.615662,156.560806,141.457352,94.810570,127.599998,55.977615,19.717308
2018-04-20,235.600784,154.082977,140.697571,94.127190,126.629997,55.841053,19.834375
2018-04-23,235.565521,153.693741,140.489456,94.151009,125.620003,55.691544,19.959805
2018-04-24,232.393066,150.437378,139.684433,93.721954,126.230003,55.581009,19.934719
2018-04-25,232.967438,150.617752,139.476395,93.094231,125.410004,55.587509,20.018339
2018-04-26,235.335739,153.788666,140.118622,93.745804,124.970001,55.782578,20.110317
2018-04-27,235.556702,153.883621,139.919617,94.468880,125.500000,55.756550,20.093594
2018-04-30,233.745056,152.791794,138.680466,94.635727,124.589996,55.717525,20.177210
2018-05-01,234.160477,154.538635,139.358856,94.294930,123.709999,55.758686,20.311003
2018-05-02,232.587448,153.627274,139.883469,94.191360,123.650002,55.739082,20.402983
2018-05-03,232.074844,153.608292,139.123672,94.613426,124.279999,55.732578,20.319363
2018-05-04,235.079422,156.522827,140.860291,94.756783,124.540001,55.771713,20.344450
2018-05-07,235.874832,157.823471,142.054306,94.605461,124.570000,55.823975,20.386257
2018-05-08,235.874832,157.662079,142.759811,94.517914,124.589996,55.739082,20.461515
2018-05-09,238.154770,159.380478,143.528656,93.952492,124.330002,55.830498,20.461515
