,SPY buy-and-hold,Monthly equal weight,Trend inverse-vol proxy,Sparse tangent proxy
2018,-5.25,-2.02,-2.02,-5.25
2019,31.22,21.03,15.61,15.19
2020,18.33,18.96,17.11,12.97
2021,28.73,9.99,5.80,9.18
2022,-18.18,-15.39,1.78,1.99
2023,26.18,18.13,10.63,7.27
2024,24.89,14.53,11.98,16.13
2025,17.72,16.52,11.86,16.30
2026,9.64,7.67,3.34,10.21
